[00:00.000 --> 00:21.600]  Hello, great. Okay. Hello, everyone. I hope you're enjoying this virtual conference. I'm Wendy Lu,
[00:21.600 --> 00:28.080]  Professor of Biostatistics at the University of Toronto, Canada. It is my great pleasure to chair
[00:28.080 --> 00:36.080]  this session sponsored by the Statistical Society of Canada, SSC. Before I start, I'd like to give a
[00:36.080 --> 00:43.280]  very brief introduction about the speaker, Professor Tiffany Timbers. Tiffany is a faculty
[00:43.280 --> 00:49.760]  member in the Department of Statistics at the University of British Columbia, I'll briefly
[00:49.760 --> 00:56.720]  as UBC in Vancouver, Canada. In addition to teaching, she co-directs the master's program
[00:56.720 --> 01:04.320]  of data science at UBC. Prior to joining UBC as a faculty, she completed her postdoctoral training
[01:04.320 --> 01:11.760]  at UBC in Simon Fraser University after obtaining her PhD in neuroscience also at UBC. She's a true
[01:12.640 --> 01:20.160]  Vancouver person. Tiffany is an internationally recognized leader in teaching data science.
[01:20.160 --> 01:28.640]  She was recently awarded with the SSC's Early Career Educator Award just this year. If you're teaching
[01:28.640 --> 01:35.840]  courses on data science, I highly recommend you check out her website. She co-authored two textbooks.
[01:35.840 --> 01:42.560]  One is titled Introduction to Data Science and the other is titled Python Packages. Both are available at
[01:42.560 --> 01:52.640]  her website and also available as published texts through CRC Press. In the interest of time, for more details
[01:52.640 --> 02:00.160]  about Tiffany's research interests, publications, and her leadership roles, I will refer you to her website,
[02:00.160 --> 02:08.240]  which I will send the URLs through the chat shortly. So today, she's going to tell you about
[02:08.240 --> 02:15.120]  10 simple rules for teaching data science. All right. So over to you, Tiffany.
[02:15.120 --> 02:18.480]  Tiffany, thank you. Thank you for the introduction, Wendy, and thank you to
[02:19.120 --> 02:24.080]  the organizers for this great meeting. I'm very honored to be part of it. I'm going to share my screen now
[02:24.080 --> 02:31.280]  and let me know if that everything looks okay on your end. Yep. Looks great. Excellent.
[02:31.280 --> 02:38.320]  Excellent. Okay. So as Wendy said, the talk title I have for you today is 10 simple rules for teaching
[02:38.320 --> 02:44.720]  data science. And so these 10 rules that I'm going to present to you are not rules that I have
[02:44.720 --> 02:50.880]  necessarily like, I'm not the first person to do this thing, but I'm trying to collate 10, I think,
